timestamp_vn,symbol,side,score,last_price,price_change_pct_1m,rsi14,macd,macd_signal,volume_ratio,bb_position,alpha_count,reasons
2026-04-25T10:27:46.935+07:00,BCH_USDT,LONG,1,454.58,-0.0462,32.0346,-0.08818017,-0.05782606,1.0418,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
2026-04-25T10:27:50.214+07:00,ZEC_USDT,SHORT,1,357.04,-0.0672,50.6337,0.30199419,0.32165765,0.4121,INSIDE,1,MACD cắt xuống Signal
2026-04-25T10:27:53.226+07:00,DOGE_USDT,SHORT,1,0.09827,-0.061,37.8681,-2.217e-05,-1.979e-05,0.1666,INSIDE,1,MACD cắt xuống Signal
2026-04-25T10:28:02.153+07:00,ICP_USDT,LONG,1,2.454,0.0,35.1707,-0.00100375,-0.00049404,0.1508,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
2026-04-25T10:28:09.281+07:00,AAVE_USDT,SHORT,1,94.66,-0.2003,39.1298,0.00430178,0.01303979,1.6208,INSIDE,1,MACD cắt xuống Signal
2026-04-25T10:30:25.136+07:00,USOIL_USDT,SHORT,1,95.103,0.1316,64.4408,0.04922198,0.03193796,1.1762,ABOVE_UPPER,1,Giá trên Bollinger Upper Band
2026-04-25T10:33:20.999+07:00,BTC_USDT,LONG,1,77524.9,0.0014,44.9117,-10.30551127,-10.80753614,0.2393,INSIDE,1,MACD cắt lên Signal
2026-04-25T10:33:27.371+07:00,SILVER_USDT,SHORT,1,75.66,0.0,43.802,-0.00464259,-0.00453404,0.0053,INSIDE,1,MACD cắt xuống Signal
2026-04-25T10:33:35.038+07:00,LINK_USDT,LONG,1,9.394,-0.1063,33.4199,-0.00263349,-0.00169613,1.2027,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
2026-04-25T10:33:41.506+07:00,RAVE_USDT,LONG,2,0.947,0.5308,66.4992,0.00341716,0.00331217,3.1235,ABOVE_UPPER,3,MACD cắt lên Signal | Volume spike 3.12x + nến tăng | Giá trên Bollinger Upper Band
2026-04-25T11:08:37.986+07:00,USOIL_USDT,LONG,1,95.015,-0.0179,39.6751,-0.01755777,0.00082462,0.4599,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
2026-04-25T11:08:41.900+07:00,BCH_USDT,SHORT,1,455.07,-0.0088,51.8949,0.05462057,0.05570676,0.0783,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:09:40.884+07:00,XAUT_USDT,SHORT,1,4693.3,0.0021,57.5184,0.02012361,0.00213396,0.1152,ABOVE_UPPER,1,Giá trên Bollinger Upper Band
2026-04-25T11:09:44.601+07:00,ETH_USDT,LONG,1,2316.42,0.016,44.2925,-0.11700723,0.01618175,2.3393,INSIDE,1,Volume spike 2.34x + nến tăng
2026-04-25T11:09:51.787+07:00,LINK_USDT,SHORT,1,9.421,0.0,57.581,0.00255215,0.00259649,0.8526,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:10:35.033+07:00,BTC_USDT,LONG,1,77640.6,0.0052,61.2676,3.69003953,3.40933393,0.7836,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:10:38.449+07:00,PEPE_USDT,LONG,1,3.89e-06,0.1054,63.0569,0.0,0.0,0.6967,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:10:41.477+07:00,XRP_USDT,LONG,1,1.4364,0.0209,63.0495,0.00028706,0.0003207,2.4296,INSIDE,1,Volume spike 2.43x + nến tăng
2026-04-25T11:10:42.716+07:00,UKOIL_USDT,LONG,1,100.601,0.1015,55.6293,-0.03560274,-0.04724629,2.6812,INSIDE,1,Volume spike 2.68x + nến tăng
2026-04-25T11:10:44.006+07:00,ENA_USDT,SHORT,1,0.10998,0.091,67.391,7.262e-05,4.046e-05,1.6653,ABOVE_UPPER,1,Giá trên Bollinger Upper Band
2026-04-25T11:10:48.981+07:00,DOGE_USDT,SHORT,2,0.09891,0.1113,70.5045,4.768e-05,4.869e-05,1.6144,ABOVE_UPPER,2,RSI quá mua 70.50 >= 70 | Giá trên Bollinger Upper Band
2026-04-25T11:10:52.121+07:00,ICP_USDT,SHORT,1,2.466,0.0406,64.2209,0.00069528,0.00036683,0.9467,ABOVE_UPPER,1,Giá trên Bollinger Upper Band
2026-04-25T11:10:53.638+07:00,HBAR_USDT,SHORT,1,0.09127,0.1097,66.2699,2.698e-05,3.142e-05,0.3855,ABOVE_UPPER,1,Giá trên Bollinger Upper Band
2026-04-25T11:10:54.860+07:00,RAVE_USDT,LONG,1,0.9264,-0.3121,32.883,-0.00270402,-0.00190474,1.2465,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
2026-04-25T11:10:56.109+07:00,AAVE_USDT,LONG,1,94.86,0.0422,55.3207,-0.0130228,-0.01371252,1.1175,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:12:39.744+07:00,ZEC_USDT,SHORT,2,359.01,0.1339,71.937,0.26960623,0.1186568,14.706,ABOVE_UPPER,3,RSI quá mua 71.94 >= 70 | Volume spike 14.71x + nến tăng | Giá trên Bollinger Upper Band
2026-04-25T11:12:44.233+07:00,XMR_USDT,LONG,1,368.59,0.0271,57.93,0.0325097,0.03383933,254.7186,INSIDE,1,Volume spike 254.72x + nến tăng
2026-04-25T11:13:49.460+07:00,TRADOOR_USDT,SHORT,1,1.086,-0.5495,53.3629,0.00632884,0.00634996,0.4315,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:14:39.832+07:00,SOL_USDT,SHORT,1,86.4,-0.0347,49.4704,0.01130715,0.01201701,0.4963,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:14:42.765+07:00,SILVER_USDT,LONG,1,75.65,0.0,50.7007,-0.00383779,-0.00405419,0.0047,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:14:46.181+07:00,BCH_USDT,LONG,1,455.1,0.011,51.3598,0.03939341,0.05212443,5.3787,INSIDE,1,Volume spike 5.38x + nến tăng
2026-04-25T11:15:40.913+07:00,SUI_USDT,SHORT,1,0.9515,0.0,52.8616,0.00025572,0.00027349,0.2778,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:16:35.165+07:00,XAUT_USDT,SHORT,1,4693.6,0.0021,64.9038,0.0675892,0.02462485,0.4324,ABOVE_UPPER,1,Giá trên Bollinger Upper Band
2026-04-25T11:16:36.654+07:00,PEPE_USDT,SHORT,1,3.89e-06,-0.0848,47.8421,0.0,0.0,0.5988,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:17:36.710+07:00,USOIL_USDT,SHORT,1,95.043,-0.0915,45.8054,-0.01690551,-0.01757045,3.7139,INSIDE,1,Volume spike 3.71x + nến giảm
2026-04-25T11:17:40.036+07:00,ENA_USDT,SHORT,1,0.10968,-0.1457,47.0513,7.819e-05,8.381e-05,1.9365,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:17:44.043+07:00,DOGE_USDT,LONG,1,0.09865,-0.0507,40.8477,1.086e-05,3.126e-05,0.4073,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
2026-04-25T11:17:45.928+07:00,APE_USDT,LONG,2,0.1945,-1.1687,29.2677,-0.00103014,-0.00028625,2.7249,BELOW_LOWER,3,RSI quá bán 29.27 <= 30 | Volume spike 2.72x + nến giảm | Giá dưới Bollinger Lower Band
2026-04-25T11:17:49.305+07:00,ICP_USDT,SHORT,1,2.462,-0.0812,47.1196,0.00098539,0.0010197,1.3593,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:17:50.726+07:00,HBAR_USDT,LONG,1,0.0911,-0.0549,41.8265,7.38e-06,2.021e-05,1.5449,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
2026-04-25T11:18:45.977+07:00,LINK_USDT,LONG,1,9.415,0.0319,43.725,0.00037349,0.00192259,2.1336,INSIDE,1,Volume spike 2.13x + nến tăng
2026-04-25T11:18:52.190+07:00,RAVE_USDT,LONG,2,0.9191,-0.5841,29.02,-0.00383541,-0.00312284,2.0294,BELOW_LOWER,3,RSI quá bán 29.02 <= 30 | Volume spike 2.03x + nến giảm | Giá dưới Bollinger Lower Band
2026-04-25T11:19:34.840+07:00,BTC_USDT,SHORT,1,77624.5,0.0017,51.8084,6.67258457,7.30060461,0.6869,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:19:37.302+07:00,ETH_USDT,SHORT,1,2317.39,-0.0035,51.0182,0.15553485,0.1623924,0.8687,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:21:38.417+07:00,UKOIL_USDT,SHORT,1,100.512,-0.0388,46.6274,-0.0012831,-0.00586695,3.6545,INSIDE,1,Volume spike 3.65x + nến giảm
2026-04-25T11:21:40.434+07:00,ZEC_USDT,SHORT,1,358.4,0.0167,55.217,0.31267418,0.32747793,0.7439,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:21:43.631+07:00,XMR_USDT,SHORT,1,368.59,-0.0081,49.8625,0.07503256,0.08549288,0.0044,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:21:48.975+07:00,AAVE_USDT,LONG,1,94.84,0.0422,54.1063,-0.00673796,-0.00738769,0.4157,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:21:50.131+07:00,TRADOOR_USDT,SHORT,1,1.109,1.3711,60.1163,0.00687712,0.00581695,0.8657,ABOVE_UPPER,1,Giá trên Bollinger Upper Band
2026-04-25T11:22:40.015+07:00,USOIL_USDT,LONG,1,95.104,0.0958,52.56,-0.01517447,-0.01655951,0.6506,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:22:49.197+07:00,PENGU_USDT,LONG,1,0.008588,-0.0233,57.8935,5.53e-06,5.29e-06,0.5568,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:23:35.821+07:00,XAUT_USDT,SHORT,2,4695.0,0.0192,75.776,0.3236423,0.19033996,1.2513,ABOVE_UPPER,2,RSI quá mua 75.78 >= 70 | Giá trên Bollinger Upper Band
2026-04-25T11:24:44.353+07:00,ICP_USDT,LONG,1,2.464,0.0812,52.3502,0.000501,0.00074504,2.369,INSIDE,1,Volume spike 2.37x + nến tăng
2026-04-25T11:26:11.152+07:00,HBAR_USDT,LONG,1,0.09116,0.0329,53.6308,-7.55e-06,-8.15e-06,0.3873,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:26:56.004+07:00,UKOIL_USDT,LONG,1,100.668,0.1054,59.8029,0.01485418,0.00374324,7.1722,INSIDE,1,Volume spike 7.17x + nến tăng
2026-04-25T11:26:57.571+07:00,BCH_USDT,LONG,1,455.11,0.0044,54.8271,-0.01217483,-0.01440953,0.6531,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:26:59.039+07:00,ZEC_USDT,SHORT,1,358.68,-0.1392,54.1893,0.35367647,0.36396279,0.0934,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:27:05.479+07:00,XMR_USDT,SHORT,1,369.19,0.0,71.0941,0.14765587,0.10644559,0.0358,INSIDE,1,RSI quá mua 71.09 >= 70
2026-04-25T11:28:38.669+07:00,USOIL_USDT,LONG,1,95.092,0.0347,51.6688,-0.00619125,-0.01108934,6.0697,INSIDE,1,Volume spike 6.07x + nến tăng
2026-04-25T11:28:42.169+07:00,TAO_USDT,SHORT,1,248.82,-0.004,38.9262,-0.13606494,-0.13595997,0.0645,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:28:49.327+07:00,APE_USDT,LONG,1,0.1957,-0.2548,42.0576,-0.0018272,-0.00191338,0.3358,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:31:13.033+07:00,PENGU_USDT,SHORT,1,0.008585,-0.1047,50.7628,6.26e-06,6.82e-06,0.0903,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:31:32.187+07:00,AAVE_USDT,SHORT,1,94.91,-0.0737,53.5562,0.03590726,0.02895124,6.9068,INSIDE,1,Volume spike 6.91x + nến giảm
2026-04-25T11:31:50.823+07:00,XAUT_USDT,LONG,1,4694.6,0.017,56.3318,0.33619115,0.35211474,6.4574,INSIDE,1,Volume spike 6.46x + nến tăng
2026-04-25T11:31:54.263+07:00,ETH_USDT,LONG,1,2316.09,0.0017,35.9004,-0.25276083,-0.11032378,2.461,INSIDE,1,Volume spike 2.46x + nến tăng
2026-04-25T11:32:20.581+07:00,XMR_USDT,SHORT,1,368.95,0.0108,54.624,0.13896352,0.14609483,0.2493,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:32:36.390+07:00,TRADOOR_USDT,SHORT,2,1.104,-1.0753,50.1534,0.01045576,0.01084824,2.2917,INSIDE,2,MACD cắt xuống Signal | Volume spike 2.29x + nến giảm
2026-04-25T11:33:31.224+07:00,DOGE_USDT,SHORT,1,0.0987,-0.0203,51.7043,-1.063e-05,-1.4e-05,3.0312,INSIDE,1,Volume spike 3.03x + nến giảm
2026-04-25T11:34:04.640+07:00,UKOIL_USDT,SHORT,1,100.603,0.001,51.1107,0.0198229,0.02003213,0.0051,INSIDE,1,MACD cắt xuống Signal
2026-04-25T11:34:09.879+07:00,ENA_USDT,LONG,1,0.10996,0.0182,59.6584,4.46e-05,4.32e-05,0.1574,INSIDE,1,MACD cắt lên Signal
2026-04-25T11:35:07.968+07:00,XLM_USDT,LONG,1,0.17335,-0.0519,35.534,-7.305e-05,-4.769e-05,0.3766,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
2026-04-25T11:35:53.469+07:00,BTC_USDT,LONG,1,77575.1,-0.0186,32.1108,-8.61549503,-4.70620424,0.9646,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
2026-04-25T11:35:58.984+07:00,TAO_USDT,SHORT,1,249.29,0.1245,59.7813,-0.06756024,-0.11538776,1.3273,ABOVE_UPPER,1,Giá trên Bollinger Upper Band
2026-04-25T11:36:00.340+07:00,SILVER_USDT,SHORT,1,75.64,-0.0132,47.0066,-0.00054333,-0.00081984,3.0382,INSIDE,1,Volume spike 3.04x + nến giảm
2026-04-25T11:36:01.657+07:00,XRP_USDT,LONG,2,1.4331,-0.0558,25.2885,-0.00042497,-0.00030225,3.8128,BELOW_LOWER,3,RSI quá bán 25.29 <= 30 | Volume spike 3.81x + nến giảm | Giá dưới Bollinger Lower Band
2026-04-25T11:36:07.475+07:00,LINK_USDT,LONG,1,9.406,-0.0319,31.8868,-0.00238792,-0.00161815,1.1191,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
2026-04-25T11:36:54.067+07:00,SOL_USDT,LONG,1,86.26,0.0,29.341,-0.03008096,-0.02532392,0.5129,INSIDE,1,RSI quá bán 29.34 <= 30
2026-04-25T11:36:55.533+07:00,ETH_USDT,LONG,2,2315.04,-0.0289,24.8017,-0.42519993,-0.27071523,3.7033,BELOW_LOWER,3,RSI quá bán 24.80 <= 30 | Volume spike 3.70x + nến giảm | Giá dưới Bollinger Lower Band
2026-04-25T11:37:02.603+07:00,SUI_USDT,LONG,1,0.9492,-0.0316,33.4636,-0.00039921,-0.00026042,0.469,BELOW_LOWER,1,Giá dưới Bollinger Lower Band
