timestamp_vn,symbol,last_price,price_change_pct_1m,rsi14,macd,macd_signal,volume_ratio,bb_position,status
2026-04-25T10:03:16.752+07:00,BCH_USDT,455.26,0.0242,65.7667,0.04988591,0.03980672,0.9181,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:03:18.151+07:00,ZEC_USDT,355.41,-0.0169,40.1837,-0.11436082,4.82e-05,0.0829,BELOW_LOWER,NO_SIGNAL
2026-04-25T10:03:20.148+07:00,DOGE_USDT,0.09841,0.0203,42.0343,-1.757e-05,-1.088e-05,0.3406,INSIDE,NO_SIGNAL
2026-04-25T10:03:21.385+07:00,LINK_USDT,9.41,0.0,48.0806,-0.0003827,-0.00044969,0.001,INSIDE,NO_SIGNAL
2026-04-25T10:03:22.775+07:00,APE_USDT,0.2123,-0.3286,54.4596,0.001284,0.00106505,0.937,INSIDE,NO_SIGNAL
2026-04-25T10:03:24.819+07:00,SUI_USDT,0.95,0.0105,44.1495,6.717e-05,0.00024164,1.0375,INSIDE,NO_SIGNAL
2026-04-25T10:03:26.350+07:00,PENGU_USDT,0.008493,0.0471,58.9027,6.02e-06,5.35e-06,0.3856,INSIDE,NO_SIGNAL
2026-04-25T10:03:27.299+07:00,XMR_USDT,368.66,0.0054,67.107,0.11784315,0.09100271,0.0118,INSIDE,NO_SIGNAL
2026-04-25T10:03:29.155+07:00,ICP_USDT,2.457,-0.0407,40.8682,-0.00048881,-0.00025638,0.2305,BELOW_LOWER,NO_SIGNAL
2026-04-25T10:03:30.265+07:00,HBAR_USDT,0.09091,0.011,56.0561,1.601e-05,1.007e-05,0.4744,INSIDE,NO_SIGNAL
2026-04-25T10:03:32.118+07:00,AAVE_USDT,94.94,0.0843,65.7746,0.06667027,0.06440296,0.0645,INSIDE,NO_SIGNAL
2026-04-25T10:03:33.654+07:00,RAVE_USDT,0.9252,-0.1295,62.6889,0.00263446,0.00235837,0.6727,INSIDE,NO_SIGNAL
2026-04-25T10:03:35.823+07:00,TRADOOR_USDT,1.061,-0.0942,41.8038,-0.00249924,0.00270541,0.543,INSIDE,NO_SIGNAL
2026-04-25T10:03:37.824+07:00,HYPE_USDT,41.179,0.0,55.4588,0.00282703,0.00343389,0.1185,INSIDE,NO_SIGNAL
2026-04-25T10:03:59.110+07:00,BTC_USDT,77578.9,0.0193,54.3333,0.16845988,1.9819842,1.1072,INSIDE,NO_SIGNAL
2026-04-25T10:04:00.316+07:00,XAUT_USDT,4693.1,0.0107,49.7882,0.02747292,0.05197938,0.1469,INSIDE,NO_SIGNAL
2026-04-25T10:04:01.668+07:00,SOL_USDT,86.29,0.0232,63.3969,0.00871712,0.00313853,1.6531,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:04:02.926+07:00,PEPE_USDT,3.88e-06,0.0464,51.1776,0.0,0.0,0.1485,INSIDE,NO_SIGNAL
2026-04-25T10:04:05.323+07:00,ETH_USDT,2317.43,0.0091,64.9283,0.18782724,0.02258172,0.0159,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:04:06.934+07:00,TAO_USDT,248.99,0.0121,68.6573,0.1464754,0.12225858,0.1751,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:04:08.157+07:00,USOIL_USDT,94.819,0.0084,46.6412,-0.0097447,-0.00686354,0.0012,INSIDE,NO_SIGNAL
2026-04-25T10:04:09.382+07:00,SILVER_USDT,75.71,0.0,58.5214,0.00501564,0.00504732,0.0017,INSIDE,NO_SIGNAL
2026-04-25T10:04:10.414+07:00,XRP_USDT,1.4336,0.007,49.5038,-0.00032294,-0.00045089,0.0004,ABOVE_UPPER,NO_SIGNAL
2026-04-25T10:04:11.955+07:00,UKOIL_USDT,100.486,0.0309,52.8731,0.01569944,0.01913659,3.134,INSIDE,NO_SIGNAL
2026-04-25T10:04:13.968+07:00,ENA_USDT,0.10915,0.0642,45.9626,-2.488e-05,4.39e-06,0.1206,INSIDE,NO_SIGNAL
2026-04-25T10:04:16.257+07:00,BCH_USDT,455.38,0.0044,71.0993,0.07308928,0.04772958,0.5625,ABOVE_UPPER,SIGNAL
2026-04-25T10:04:18.207+07:00,ZEC_USDT,355.88,0.1266,46.1167,-0.12408392,-0.02453815,0.0979,INSIDE,NO_SIGNAL
2026-04-25T10:04:21.185+07:00,DOGE_USDT,0.09842,0.0102,43.9265,-1.778e-05,-1.226e-05,0.0023,INSIDE,NO_SIGNAL
2026-04-25T10:04:23.188+07:00,LINK_USDT,9.411,0.0106,50.9879,-0.00029401,-0.00041877,1.4633,INSIDE,NO_SIGNAL
